date,text,clean_text,sentiment
2025-01-01,I love the new product launch! So innovative and fresh! #excited,i love the new product launch so innovative and fresh excited,positive
2025-01-02,"The service was terrible, I'm never coming back. #disappointed",the service was terrible im never coming back disappointed,negative
2025-01-03,"Wow, what a great experience, highly recommend to everyone! #happy",wow what a great experience highly recommend to everyone happy,positive
2025-01-04,Totally not worth the money. Very dissatisfied. #waste,totally not worth the money very dissatisfied waste,neutral
2025-01-05,Fantastic event! Well organized and lots of fun. #memorable,fantastic event well organized and lots of fun memorable,positive
2025-01-06,"Horrible support team, worst experience ever. #angry",horrible support team worst experience ever angry,negative
2025-01-07,"This new feature is amazing, made my life easier. #thankful",this new feature is amazing made my life easier thankful,positive
2025-01-08,Not impressed with the updates. Expected better. #meh,not impressed with the updates expected better meh,neutral
2025-01-09,Enjoyed every moment using the product. #satisfied,enjoyed every moment using the product satisfied,positive
2025-01-10,Worst customer service in history. #frustrated,worst customer service in history frustrated,negative
2025-01-11,I love the new product launch! So innovative and fresh! #excited,i love the new product launch so innovative and fresh excited,positive
2025-01-12,"The service was terrible, I'm never coming back. #disappointed",the service was terrible im never coming back disappointed,negative
2025-01-13,"Wow, what a great experience, highly recommend to everyone! #happy",wow what a great experience highly recommend to everyone happy,positive
2025-01-14,Totally not worth the money. Very dissatisfied. #waste,totally not worth the money very dissatisfied waste,neutral
2025-01-15,Fantastic event! Well organized and lots of fun. #memorable,fantastic event well organized and lots of fun memorable,positive
2025-01-16,"Horrible support team, worst experience ever. #angry",horrible support team worst experience ever angry,negative
2025-01-17,"This new feature is amazing, made my life easier. #thankful",this new feature is amazing made my life easier thankful,positive
2025-01-18,Not impressed with the updates. Expected better. #meh,not impressed with the updates expected better meh,neutral
2025-01-19,Enjoyed every moment using the product. #satisfied,enjoyed every moment using the product satisfied,positive
2025-01-20,Worst customer service in history. #frustrated,worst customer service in history frustrated,negative
2025-01-21,I love the new product launch! So innovative and fresh! #excited,i love the new product launch so innovative and fresh excited,positive
2025-01-22,"The service was terrible, I'm never coming back. #disappointed",the service was terrible im never coming back disappointed,negative
